image_path,text-representation_start-position,text-representation_end-position
images/0447/water_jugs_0447.jpg,"A=11/13
B=7/8
C=4/5
D=1/3","A=11/13
B=8/8
C=3/5
D=1/3"
images/0390/water_jugs_0390.jpg,"A=12/12
B=1/7
C=3/5
D=1/3","A=4/12
B=7/7
C=5/5
D=1/3"
images/1112/water_jugs_1112.jpg,"A=2/11
B=5/10
C=6/9
D=0/5
E=4/4","A=4/11
B=3/10
C=6/9
D=4/5
E=0/4"
images/0479/water_jugs_0479.jpg,"A=12/13
B=4/8
C=4/5
D=3/3","A=13/13
B=2/8
C=5/5
D=3/3"
images/0814/water_jugs_0814.jpg,"A=11/14
B=7/13
C=0/8
D=3/6
E=1/1","A=5/14
B=7/13
C=4/8
D=5/6
E=1/1"
images/0903/water_jugs_0903.jpg,"A=2/11
B=5/10
C=6/9
D=0/5
E=4/4","A=3/11
B=5/10
C=4/9
D=5/5
E=0/4"
images/0989/water_jugs_0989.jpg,"A=2/14
B=9/13
C=4/8
D=6/6
E=1/1","A=8/14
B=3/13
C=8/8
D=3/6
E=0/1"
images/0784/water_jugs_0784.jpg,"A=7/11
B=0/10
C=8/9
D=2/5
E=0/4","A=3/11
B=5/10
C=4/9
D=5/5
E=0/4"
images/0096/water_jugs_0096.jpg,"A=10/10
B=0/3
C=1/1","A=9/10
B=2/3
C=0/1"
images/0666/water_jugs_0666.jpg,"A=12/12
B=2/7
C=0/5
D=3/3","A=12/12
B=5/7
C=0/5
D=0/3"
images/0657/water_jugs_0657.jpg,"A=13/13
B=3/8
C=4/5
D=3/3","A=8/13
B=8/8
C=4/5
D=3/3"
images/0531/water_jugs_0531.jpg,"A=11/13
B=7/8
C=5/5
D=0/3","A=9/13
B=6/8
C=5/5
D=3/3"
images/0877/water_jugs_0877.jpg,"A=6/11
B=5/10
C=2/9
D=1/5
E=3/4","A=8/11
B=5/10
C=4/9
D=0/5
E=0/4"
images/0321/water_jugs_0321.jpg,"A=13/13
B=3/8
C=4/5
D=3/3","A=13/13
B=7/8
C=0/5
D=3/3"
images/0051/water_jugs_0051.jpg,"A=11/13
B=12/12
C=4/6","A=9/13
B=12/12
C=6/6"
images/0318/water_jugs_0318.jpg,"A=12/12
B=1/7
C=3/5
D=1/3","A=12/12
B=3/7
C=0/5
D=2/3"
images/0308/water_jugs_0308.jpg,"A=10/12
B=5/7
C=0/5
D=2/3","A=10/12
B=4/7
C=3/5
D=0/3"
images/0070/water_jugs_0070.jpg,"A=12/13
B=10/12
C=5/6","A=13/13
B=11/12
C=3/6"
images/0872/water_jugs_0872.jpg,"A=3/11
B=2/10
C=8/9
D=1/5
E=3/4","A=1/11
B=5/10
C=8/9
D=3/5
E=0/4"
images/1018/water_jugs_1018.jpg,"A=11/11
B=1/10
C=1/9
D=3/5
E=1/4","A=7/11
B=3/10
C=3/9
D=0/5
E=4/4"
images/0548/water_jugs_0548.jpg,"A=13/13
B=3/8
C=4/5
D=3/3","A=10/13
B=6/8
C=4/5
D=3/3"
images/0199/water_jugs_0199.jpg,"A=13/13
B=7/8
C=1/5
D=2/3","A=13/13
B=5/8
C=2/5
D=3/3"
images/0746/water_jugs_0746.jpg,"A=12/13
B=7/8
C=3/5
D=1/3","A=11/13
B=8/8
C=4/5
D=0/3"
images/0174/water_jugs_0174.jpg,"A=11/13
B=7/8
C=5/5
D=0/3","A=8/13
B=8/8
C=4/5
D=3/3"
images/0542/water_jugs_0542.jpg,"A=4/12
B=7/7
C=4/5
D=2/3","A=7/12
B=7/7
C=3/5
D=0/3"
images/0309/water_jugs_0309.jpg,"A=10/12
B=5/7
C=0/5
D=2/3","A=10/12
B=1/7
C=5/5
D=1/3"
images/0643/water_jugs_0643.jpg,"A=5/12
B=7/7
C=4/5
D=1/3","A=10/12
B=4/7
C=3/5
D=0/3"
images/0880/water_jugs_0880.jpg,"A=2/11
B=10/10
C=2/9
D=0/5
E=3/4","A=1/11
B=6/10
C=6/9
D=4/5
E=0/4"
images/0331/water_jugs_0331.jpg,"A=8/12
B=5/7
C=3/5
D=1/3","A=8/12
B=4/7
C=2/5
D=3/3"
images/0864/water_jugs_0864.jpg,"A=5/14
B=5/13
C=8/8
D=3/6
E=1/1","A=1/14
B=7/13
C=7/8
D=6/6
E=1/1"
images/0622/water_jugs_0622.jpg,"A=7/12
B=3/7
C=4/5
D=3/3","A=10/12
B=5/7
C=0/5
D=2/3"
images/0371/water_jugs_0371.jpg,"A=10/12
B=3/7
C=2/5
D=2/3","A=12/12
B=5/7
C=0/5
D=0/3"
images/0336/water_jugs_0336.jpg,"A=10/12
B=3/7
C=2/5
D=2/3","A=7/12
B=7/7
C=3/5
D=0/3"
images/0549/water_jugs_0549.jpg,"A=11/13
B=7/8
C=5/5
D=0/3","A=13/13
B=5/8
C=2/5
D=3/3"
images/0031/water_jugs_0031.jpg,"A=8/10
B=2/3
C=1/1","A=9/10
B=1/3
C=1/1"
images/0585/water_jugs_0585.jpg,"A=13/13
B=6/8
C=1/5
D=3/3","A=13/13
B=7/8
C=0/5
D=3/3"
images/0966/water_jugs_0966.jpg,"A=4/11
B=9/10
C=1/9
D=0/5
E=3/4","A=8/11
B=5/10
C=4/9
D=0/5
E=0/4"
images/0752/water_jugs_0752.jpg,"A=10/13
B=7/8
C=5/5
D=1/3","A=13/13
B=7/8
C=0/5
D=3/3"
images/0581/water_jugs_0581.jpg,"A=8/13
B=8/8
C=4/5
D=3/3","A=12/13
B=3/8
C=5/5
D=3/3"
images/0344/water_jugs_0344.jpg,"A=4/12
B=7/7
C=3/5
D=3/3","A=4/12
B=7/7
C=5/5
D=1/3"
images/0482/water_jugs_0482.jpg,"A=13/13
B=7/8
C=1/5
D=2/3","A=13/13
B=7/8
C=0/5
D=3/3"
images/0323/water_jugs_0323.jpg,"A=3/12
B=7/7
C=4/5
D=3/3","A=8/12
B=4/7
C=2/5
D=3/3"
images/0943/water_jugs_0943.jpg,"A=14/14
B=1/13
C=4/8
D=3/6
E=0/1","A=8/14
B=3/13
C=8/8
D=3/6
E=0/1"
images/0156/water_jugs_0156.jpg,"A=9/12
B=0/7
C=5/5
D=3/3","A=9/12
B=4/7
C=1/5
D=3/3"
images/0660/water_jugs_0660.jpg,"A=12/12
B=2/7
C=0/5
D=3/3","A=10/12
B=5/7
C=0/5
D=2/3"
images/1068/water_jugs_1068.jpg,"A=1/11
B=6/10
C=8/9
D=0/5
E=2/4","A=9/11
B=0/10
C=0/9
D=4/5
E=4/4"
images/0445/water_jugs_0445.jpg,"A=12/13
B=4/8
C=4/5
D=3/3","A=13/13
B=4/8
C=5/5
D=1/3"
images/0504/water_jugs_0504.jpg,"A=5/12
B=6/7
C=5/5
D=1/3","A=5/12
B=4/7
C=5/5
D=3/3"
images/0365/water_jugs_0365.jpg,"A=8/13
B=7/8
C=5/5
D=3/3","A=12/13
B=3/8
C=5/5
D=3/3"
images/0333/water_jugs_0333.jpg,"A=9/12
B=5/7
C=0/5
D=3/3","A=12/12
B=0/7
C=2/5
D=3/3"
images/0741/water_jugs_0741.jpg,"A=10/12
B=5/7
C=1/5
D=1/3","A=12/12
B=5/7
C=0/5
D=0/3"
images/0327/water_jugs_0327.jpg,"A=12/13
B=6/8
C=5/5
D=0/3","A=10/13
B=6/8
C=4/5
D=3/3"
images/0730/water_jugs_0730.jpg,"A=13/13
B=4/8
C=5/5
D=1/3","A=13/13
B=2/8
C=5/5
D=3/3"
images/0010/water_jugs_0010.jpg,"A=10/10
B=0/3
C=1/1","A=8/10
B=2/3
C=1/1"
images/0354/water_jugs_0354.jpg,"A=8/12
B=5/7
C=3/5
D=1/3","A=10/12
B=4/7
C=3/5
D=0/3"
images/0292/water_jugs_0292.jpg,"A=11/13
B=4/8
C=5/5
D=3/3","A=13/13
B=5/8
C=2/5
D=3/3"
images/0796/water_jugs_0796.jpg,"A=0/11
B=7/10
C=3/9
D=5/5
E=2/4","A=9/11
B=1/10
C=5/9
D=0/5
E=2/4"
images/0192/water_jugs_0192.jpg,"A=13/13
B=3/8
C=4/5
D=3/3","A=10/13
B=8/8
C=3/5
D=2/3"
images/0780/water_jugs_0780.jpg,"A=3/14
B=9/13
C=8/8
D=2/6
E=0/1","A=4/14
B=13/13
C=3/8
D=1/6
E=1/1"
images/0497/water_jugs_0497.jpg,"A=10/12
B=6/7
C=1/5
D=0/3","A=10/12
B=4/7
C=3/5
D=0/3"
