start_image_path,end_image_path,text-representation_start-position,text-representation_end-position
images/1080/checker_move_start_v2.jpg,images/1080/checker_move_end_v2.jpg,2;2;2;2;0;1;2;1;2;1;2;1;2;1;2;2;2,2;2;2;2;2;1;2;1;0;1;2;1;2;1;2;2;2
images/0450/checker_move_start_v2.jpg,images/0450/checker_move_end_v2.jpg,2;1;2;1;2;1;2;1;2;1;2;1;2;1;0;1;1;1;1,2;1;2;1;2;1;2;1;2;1;2;0;2;1;1;1;1;1;1
images/1609/checker_move_start_v2.jpg,images/1609/checker_move_end_v2.jpg,1;2;0;2;1;2,0;2;1;2;1;2
images/1290/checker_move_start_v2.jpg,images/1290/checker_move_end_v2.jpg,2;2;2;0;1;2;1;2;1;1,2;2;2;2;1;0;1;2;1;1
images/1078/checker_move_start_v2.jpg,images/1078/checker_move_end_v2.jpg,2;2;2;2;2;0;2;1;2;1;2;1;2;2;2;2;2,2;2;2;2;2;2;2;1;2;1;0;1;2;2;2;2;2
images/0254/checker_move_start_v2.jpg,images/0254/checker_move_end_v2.jpg,2;2;2;2;2;1;2;1;2;0;2;1;2;2;2,2;2;2;2;2;2;0;1;2;1;2;1;2;2;2
images/0124/checker_move_start_v2.jpg,images/0124/checker_move_end_v2.jpg,1;1;1;1;1;1;0;2;2;2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2;2;2;0;1;1;1;1;1;1
images/1927/checker_move_start_v2.jpg,images/1927/checker_move_end_v2.jpg,2;0;2;1;2;1;2;1;2;1;2;1;2;2;2;2;2;2;2,2;2;2;1;2;1;0;1;2;1;2;1;2;2;2;2;2;2;2
images/0251/checker_move_start_v2.jpg,images/0251/checker_move_end_v2.jpg,2;2;2;2;2;2;1;0;2;2;2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;0;1;2;2;2;2;2;2;2;2;2;2;2
images/0585/checker_move_start_v2.jpg,images/0585/checker_move_end_v2.jpg,1;1;1;1;1;1;1;0;2;1;2;1;2;2;2,1;1;1;1;1;1;0;1;2;1;2;1;2;2;2
images/1568/checker_move_start_v2.jpg,images/1568/checker_move_end_v2.jpg,1;1;1;1;1;2;1;2;1;2;1;2;1;2;1;0;2,1;1;1;1;1;2;1;2;1;2;1;2;1;2;0;2;1
images/0824/checker_move_start_v2.jpg,images/0824/checker_move_end_v2.jpg,0;1;1;2;1;0;2;2;2;2;2;2;2;2;2,0;1;2;1;2;1;2;2;2;2;2;2;2;2
images/0507/checker_move_start_v2.jpg,images/0507/checker_move_end_v2.jpg,2;2;2;2;1;0;2;2;2;2;2;2;2;2;2;2,2;2;2;2;0;1;2;2;2;2;2;2;2;2;2;2
images/0889/checker_move_start_v2.jpg,images/0889/checker_move_end_v2.jpg,1;1;1;1;1;0;2;1;2;1,1;1;1;1;2;1;2;0;1;1
images/0070/checker_move_start_v2.jpg,images/0070/checker_move_end_v2.jpg,1;1;1;1;1;1;0;2;2;2;2;2;2;2,2;2;2;2;2;2;2;0;1;1;1;1;1;1
images/1608/checker_move_start_v2.jpg,images/1608/checker_move_end_v2.jpg,1;1;1;1;0;2;1;2;1;1;1,1;1;1;2;1;2;0;1;1;1;1
images/1532/checker_move_start_v2.jpg,images/1532/checker_move_end_v2.jpg,1;1;1;1;1;1;1;0;2;1;2;1,1;1;1;1;1;1;2;1;2;0;1;1
images/0247/checker_move_start_v2.jpg,images/0247/checker_move_end_v2.jpg,2;2;2;2;2;2;2;2;2;1;2;1;2;1;0;2;2;2,2;2;2;2;2;2;2;2;2;0;2;1;2;1;2;1;2;2
images/1450/checker_move_start_v2.jpg,images/1450/checker_move_end_v2.jpg,1;2;1;2;1;2;0;2;1;2;2;2;2;2;2;2,2;2;1;0;1;2;1;2;1;2;2;2;2;2;2;2
images/0212/checker_move_start_v2.jpg,images/0212/checker_move_end_v2.jpg,0;2;1;2;1;2,2;2;1;2;0;1
images/0909/checker_move_start_v2.jpg,images/0909/checker_move_end_v2.jpg,2;2;0;1;2;2;2;2;2;2;2;2;2;2;2,2;2;2;2;0;1;2;2;2;2;2;2;2;2;2
images/1741/checker_move_start_v2.jpg,images/1741/checker_move_end_v2.jpg,1;2;1;2;1;2;1;2;1;2;1;2;1;2;0;2;1;1;1,1;2;1;2;0;2;1;2;1;2;1;2;1;2;1;2;1;1;1
images/1244/checker_move_start_v2.jpg,images/1244/checker_move_end_v2.jpg,2;2;2;2;2;2;2;2;1;2;1;2;0;2;2;2;2;2,2;2;2;2;2;2;2;2;2;2;1;0;1;2;2;2;2;2
images/1696/checker_move_start_v2.jpg,images/1696/checker_move_end_v2.jpg,1;1;1;1;1;1;1;1;1;1;2;1;0;1;2;1;2;1;1,1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;0;1;1
images/1182/checker_move_start_v2.jpg,images/1182/checker_move_end_v2.jpg,2;2;2;2;2;2;2;2;2;2;2;1;0;2;2;2;2,2;2;2;2;2;2;2;2;2;2;2;0;1;2;2;2;2
images/0361/checker_move_start_v2.jpg,images/0361/checker_move_end_v2.jpg,2;2;2;1;2;1;0;1;2;2;2;2;2;2;2;2;2;2;2,2;2;2;1;2;1;2;1;0;2;2;2;2;2;2;2;2;2;2
images/1473/checker_move_start_v2.jpg,images/1473/checker_move_end_v2.jpg,2;2;2;2;2;2;2;1;2;1;2;1;2;0;2;1;1;1;1,2;2;2;2;2;2;2;1;2;0;2;1;2;1;2;1;1;1;1
images/0678/checker_move_start_v2.jpg,images/0678/checker_move_end_v2.jpg,1;1;1;1;2;1;2;1;0;1;2;1;1,1;1;1;1;2;1;2;1;2;0;1;1;1
images/1621/checker_move_start_v2.jpg,images/1621/checker_move_end_v2.jpg,1;1;2;1;2;1;2;0;2;1;2;2;2;2,1;1;2;0;2;1;2;1;2;1;2;2;2;2
images/1089/checker_move_start_v2.jpg,images/1089/checker_move_end_v2.jpg,2;0;1;2;1;2;1;2;1;2;2;2;2,2;2;1;2;1;2;1;0;1;2;2;2;2
images/1987/checker_move_start_v2.jpg,images/1987/checker_move_end_v2.jpg,2;2;1;2;0;2;1;2;1;2;1;1;1;1;1;1;1;1;1,2;2;2;2;1;2;1;0;1;2;1;1;1;1;1;1;1;1;1
images/1847/checker_move_start_v2.jpg,images/1847/checker_move_end_v2.jpg,2;2;0;2;1;2;1;2;1;2;1;2;2;2,2;2;2;2;1;2;1;2;1;2;1;0;2;2
images/0987/checker_move_start_v2.jpg,images/0987/checker_move_end_v2.jpg,1;1;1;1;1;2;0;2;1;2;1;2;1;2;1;2;1,1;1;1;2;1;2;1;2;1;0;1;2;1;2;1;2;1
images/1512/checker_move_start_v2.jpg,images/1512/checker_move_end_v2.jpg,2;2;2;1;2;0;2;1;2;1;1;1;1;1,2;2;2;2;2;1;2;1;0;1;1;1;1;1
images/0111/checker_move_start_v2.jpg,images/0111/checker_move_end_v2.jpg,1;1;1;1;1;1;1;1;0;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;0;1;1;1;1;1;1;1;1
images/1487/checker_move_start_v2.jpg,images/1487/checker_move_end_v2.jpg,2;2;2;2;2;2;2;1;0;1;2;1;2,2;2;2;2;2;2;2;0;2;1;2;1;1
images/1453/checker_move_start_v2.jpg,images/1453/checker_move_end_v2.jpg,1;1;1;2;0;2;1;2;1;1;1;1;1;1,1;0;1;2;1;2;1;2;1;1;1;1;1;1
images/0383/checker_move_start_v2.jpg,images/0383/checker_move_end_v2.jpg,1;1;1;1;1;1;2;0;2;1;2;1;2;1;2;1;1,1;1;1;1;0;1;2;1;2;1;2;1;2;1;2;1;1
images/1395/checker_move_start_v2.jpg,images/1395/checker_move_end_v2.jpg,2;1;2;1;2;1;2;1;0;1;2;1;2;1;2;2;2,2;1;2;1;2;1;2;1;2;1;0;1;2;1;2;2;2
images/1054/checker_move_start_v2.jpg,images/1054/checker_move_end_v2.jpg,1;1;1;1;2;0;2;1;1;1;1;1;1;1,1;1;2;1;2;0;1;1;1;1;1;1;1;1
images/0755/checker_move_start_v2.jpg,images/0755/checker_move_end_v2.jpg,2;1;2;1;2;1;2;0;2;1;2;1;2;2;2;2,2;2;2;1;0;1;2;1;2;1;2;1;2;2;2;2
images/0324/checker_move_start_v2.jpg,images/0324/checker_move_end_v2.jpg,1;1;1;1;2;1;0;1;2;1;2;2,1;1;1;1;2;1;2;1;0;1;2;2
images/1623/checker_move_start_v2.jpg,images/1623/checker_move_end_v2.jpg,1;1;2;1;0;1;2;1;2;1;2;1;2;1;2;1;2;1;1,1;1;2;1;2;1;2;1;0;1;2;1;2;1;2;1;2;1;1
images/0787/checker_move_start_v2.jpg,images/0787/checker_move_end_v2.jpg,1;1;1;1;1;1;2;1;2;0;2;2;2,1;1;1;1;2;1;2;1;0;1;2;2;2
images/0368/checker_move_start_v2.jpg,images/0368/checker_move_end_v2.jpg,2;2;0;1;2;1;2;1;1;1;1;1;1;1,2;2;2;1;2;1;0;1;1;1;1;1;1;1
images/1819/checker_move_start_v2.jpg,images/1819/checker_move_end_v2.jpg,2;2;0;1;2;2;2;2;2;2,2;2;2;0;1;2;2;2;2;2
images/0069/checker_move_start_v2.jpg,images/0069/checker_move_end_v2.jpg,1;1;1;1;1;0;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;0;1;1;1;1;1
images/0857/checker_move_start_v2.jpg,images/0857/checker_move_end_v2.jpg,2;2;2;2;2;2;2;0;2;1;2;1;2;1;2;2;2;2,2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;0;2;2
images/1483/checker_move_start_v2.jpg,images/1483/checker_move_end_v2.jpg,1;1;1;1;1;1;1;1;1;1;1;2;0;2;1;2;1;1,1;1;1;1;1;1;1;1;1;0;1;2;1;2;1;2;1;1
images/1555/checker_move_start_v2.jpg,images/1555/checker_move_end_v2.jpg,2;2;2;2;2;1;2;0;2;1;2;1;2;2;2,2;2;2;2;2;2;2;1;2;1;0;1;2;2;2
images/1691/checker_move_start_v2.jpg,images/1691/checker_move_end_v2.jpg,1;2;1;2;1;2;1;0;1;2;1;2;1;2;1;2;2;2;2,1;2;1;2;1;2;1;2;1;2;1;0;1;2;1;2;2;2;2
images/1474/checker_move_start_v2.jpg,images/1474/checker_move_end_v2.jpg,2;1;0;1;2;1;2;1;2;1;2;1;2;1;2,2;1;2;1;2;1;0;1;2;1;2;1;2;1;2
images/1798/checker_move_start_v2.jpg,images/1798/checker_move_end_v2.jpg,1;1;2;1;2;1;2;1;2;1;2;1;2;0;2;2;2;2;2,1;1;2;1;2;1;2;1;2;0;2;1;2;1;2;2;2;2;2
images/0478/checker_move_start_v2.jpg,images/0478/checker_move_end_v2.jpg,1;1;1;1;1;2;1;2;1;2;1;0;2;2;2;2;2,1;1;1;1;1;2;0;2;1;2;1;2;1;2;2;2;2
images/0281/checker_move_start_v2.jpg,images/0281/checker_move_end_v2.jpg,1;2;1;2;1;2;0;2;1;2;2;2;2;2;2,0;2;1;2;1;2;1;2;1;2;2;2;2;2;2
images/1647/checker_move_start_v2.jpg,images/1647/checker_move_end_v2.jpg,1;1;1;1;1;1;1;1;2;1;2;0;2;1;1;1;1;1;1,1;1;1;1;1;1;2;1;0;1;2;1;2;1;1;1;1;1;1
images/1556/checker_move_start_v2.jpg,images/1556/checker_move_end_v2.jpg,1;1;1;1;1;0;1;2;2;2;2;2;2,1;1;1;1;1;2;0;2;1;2;2;2;2
images/1729/checker_move_start_v2.jpg,images/1729/checker_move_end_v2.jpg,1;1;2;0;2;1;2;1;2;1;2;1;2;1;2;2;2;2;2,1;0;2;1;2;1;2;1;2;1;2;1;2;1;2;2;2;2;2
images/0210/checker_move_start_v2.jpg,images/0210/checker_move_end_v2.jpg,1;2;1;2;1;2;1;2;1;2;1;2;1;0;1;2;1;1,1;2;1;2;1;2;1;2;0;2;1;2;1;2;1;1;1;1
images/0297/checker_move_start_v2.jpg,images/0297/checker_move_end_v2.jpg,1;1;2;1;2;1;0;1;2;1;1;1;1;1;1;1;1,1;0;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1
images/1884/checker_move_start_v2.jpg,images/1884/checker_move_end_v2.jpg,2;2;2;1;0;2;2;2,2;2;2;2;0;1;2;2
images/1833/checker_move_start_v2.jpg,images/1833/checker_move_end_v2.jpg,2;2;2;2;1;2;1;0;2,2;2;2;2;2;2;1;0;1
images/0651/checker_move_start_v2.jpg,images/0651/checker_move_end_v2.jpg,2;2;2;2;2;2;2;0;2;1;2;1;1;1;1;1;1,2;2;2;2;2;2;2;2;2;1;0;1;1;1;1;1;1
images/1233/checker_move_start_v2.jpg,images/1233/checker_move_end_v2.jpg,1;1;1;1;1;1;1;2;1;2;0;2;2;2;2,1;1;1;1;1;2;1;2;1;0;1;2;2;2;2
images/1502/checker_move_start_v2.jpg,images/1502/checker_move_end_v2.jpg,1;2;1;2;1;2;1;2;1;0;1;2;2;2;2;2;2;2,1;2;1;2;1;2;1;2;1;2;1;0;2;2;2;2;2;2
images/1931/checker_move_start_v2.jpg,images/1931/checker_move_end_v2.jpg,1;1;1;1;1;0;2;1;2;1;1;1;1;1,1;1;1;1;2;0;2;1;1;1;1;1;1;1
